name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
HSCJ095921+020638,149.841,2.111,PUB,,2020A&A...636A..87C,TRUE,,,,,,,,,,,1.38,,,3.0,3.0,,,Selection: –; see also:Anguita et al. (2009)
HSCJ091506+041716,138.776,4.288,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.46,,TRUE,1.5,1.5,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ091608+034710,139.036,3.786,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.3,,TRUE,2.9,2.9,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ092101+035521,140.256,3.923,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.42,,TRUE,2.6,2.6,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ121052-011904,182.718,-1.318,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.32,,TRUE,2.6,2.6,,,Selection: LRG: CMASS; see also:–
HSCJ140929-011410,212.374,-1.236,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.48,,TRUE,3.0,3.0,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ141300-012608,213.25,-1.436,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.26,,TRUE,2.8,2.8,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ145732-015917,224.386,-1.988,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.4,,TRUE,3.0,3.0,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ155517+415138,238.824,41.861,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.62,,TRUE,3.0,3.0,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ155826+432830,239.611,43.475,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.82,,TRUE,2.0,2.0,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ092455+021923,141.233,2.323,PUB,,2020A&A...636A..87C,FALSE,,,,,,,,,,,,TRUE,,,3.0,,,Selection: –; see also:Inada et al. (2003)
HSCJ022059-045554,35.249,-4.932,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,2.04,,TRUE,0.25,1.6,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ022622-042522,36.593,-4.423,PUB,,2020A&A...636A..87C,TRUE,2.146,TRUE,TRUE,1.119,TRUE,TRUE,GALAXY,,,,1.62,TRUE,,,2.6,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ221608+005538,334.036,0.927,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.3,,TRUE,0.25,2.6,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ222022+000710,335.095,0.12,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.24,,TRUE,0.25,1.7,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ222618-011940,336.576,-1.328,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.14,,TRUE,0.25,1.6,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ162757+435849,246.988,43.98,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.04,,TRUE,0.75,1.8,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ161955+431024,244.982,43.173,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.54,,TRUE,1.0,1.7,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ022040-052056,35.168,-5.349,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.92,,TRUE,0.25,1.7,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ090412+000420,136.051,0.072,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.1,,TRUE,1.25,1.6,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ115943+012846,179.931,1.479,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.14,,TRUE,0.25,1.8,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ120045-005740,180.189,-0.961,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,3.14,,TRUE,1.0,1.9,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ115312+000206,178.304,0.035,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.16,,TRUE,0.75,1.6,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ115530+004141,178.879,0.695,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.28,,TRUE,0.25,1.6,,,Selection: QSO: Brescia et al. (2015); see also:–
HSCJ221606+023139,334.026,2.528,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.16,,TRUE,2.75,1.8,,,Selection: QSO: Brescia et al. (2015); see also:–
HSCJ083906-000000,129.777,0.0,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,3.68,,TRUE,1.25,1.8,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ090710+000320,136.794,0.056,PUB,,2020A&A...636A..87C,TRUE,,,,,,,QUASAR,,,,1.32,,TRUE,2.5,1.8,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ144320-012538,220.836,-1.427,PUB,,2020A&A...636A..87C,TRUE,1.703,TRUE,TRUE,0.89,TRUE,TRUE,GALAXY,,,,2.04,TRUE,,,2.7,,,Selection: QSO: SDSS+WISE; see also:–
HSCJ091148+041852,137.954,4.315,PUB,,2020A&A...636A..87C,TRUE,2.627,TRUE,TRUE,0.861,TRUE,TRUE,,,,,,TRUE,,,,,,Selection: –; see also:Found by YATTALENS
HSCJ141136-010216,212.902,-1.038,PUB,,2020A&A...636A..87C,TRUE,3.021,TRUE,TRUE,0.949,TRUE,TRUE,,,,,,TRUE,,,,,,Selection: –; see also:Found by YATTALENS
